kind,codeword_size,pd,ld,lib_size,simulations,estimated_primers
primer_density_study,9,6,6,0,500,106
primer_density_study,9,6,6,0,1500,316
primer_density_study,9,6,6,0,3500,698
primer_density_study,9,6,6,0,13500,2118
primer_density_study,9,6,6,0,28500,3531
primer_density_study,9,6,6,0,53500,5059
primer_density_study,9,6,6,0,103500,7004
primer_density_study,9,6,6,0,203500,9261
primer_density_study,9,6,6,0,403500,11713
primer_density_study,9,6,6,0,503500,12536
primer_density_study,9,6,6,0,603500,13215
primer_density_study,9,6,6,0,703500,13774
primer_density_study,9,6,6,0,803500,14272
primer_density_study,9,6,6,0,903500,14723
primer_density_study,9,6,6,0,1003500,15107
primer_density_study,9,6,6,0,1203500,15837
primer_density_study,9,6,6,0,1403500,16470
primer_density_study,9,6,6,0,1603500,16954
primer_density_study,9,6,6,0,1803500,17402
primer_density_study,9,6,6,0,2003500,17834
